source_file,method_id,train_dataset,test_dataset,model,variant,subject,n_test,acc,precision_macro,f1_macro,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,20260604,cho2017,lee2019,csp_lda,,32,200,66.0,,,66.0,0.32,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,20260604,cho2017,lee2019,csp_lda,,33,200,60.5,,,60.5,0.21,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,20260604,cho2017,lee2019,csp_lda,,34,200,48.5,,,48.5,-0.03,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,20260604,cho2017,lee2019,csp_lda,,35,200,50.5,,,50.5,0.01,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,20260604,cho2017,lee2019,csp_lda,,36,200,72.0,,,72.0,0.44,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,20260604,cho2017,lee2019,csp_lda,,37,200,52.5,,,52.5,0.05,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,20260604,cho2017,lee2019,csp_lda,,38,200,50.0,,,50.0,0.0,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,20260604,cho2017,lee2019,csp_lda,,39,200,59.0,,,59.0,0.18,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,20260604,cho2017,lee2019,csp_lda,,40,200,50.0,,,50.0,0.0,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,20260604,cho2017,lee2019,csp_lda,,41,200,50.0,,,50.0,0.0,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,20260604,cho2017,lee2019,csp_lda,,42,200,57.0,,,57.0,0.14,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,20260604,cho2017,lee2019,csp_lda,,43,200,51.5,,,51.5,0.03,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,20260604,cho2017,lee2019,csp_lda,,44,200,50.0,,,50.0,0.0,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,20260604,cho2017,lee2019,csp_lda,,45,200,50.0,,,50.0,0.0,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,20260604,cho2017,lee2019,csp_lda,,46,200,51.0,,,51.0,0.02,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,20260604,cho2017,lee2019,csp_lda,,47,200,56.0,,,56.0,0.12,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,20260604,cho2017,lee2019,csp_lda,,48,200,53.5,,,53.5,0.07,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,20260604,cho2017,lee2019,csp_lda,,49,200,55.5,,,55.5,0.11,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,20260604,cho2017,lee2019,csp_lda,,50,200,50.5,,,50.5,0.01,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,20260604,cho2017,lee2019,csp_lda,,51,200,61.5,,,61.5,0.23,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,20260604,cho2017,lee2019,csp_lda,,52,200,53.0,,,53.0,0.06,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,20260604,cho2017,lee2019,csp_lda,,53,200,57.5,,,57.5,0.15,,,,,,,,,,,,
loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,20260604,cho2017,lee2019,csp_lda,,54,200,51.0,,,51.0,0.02,,,,,,,,,,,,
