dataset,feature,target,n,rho,p
cho2017,mu_beta_hemi_asym_diff,best_generalization_acc,52,-0.535538954596838,4.294865834801429e-05
cho2017,mu_beta_hemi_asym_diff,best_delta,52,-0.11722768919849097,0.40786835751953365
cho2017,mu_beta_hemi_asym_absdiff,original_acc,52,0.48998847688750485,0.0002268815331215187
cho2017,mu_beta_hemi_asym_absdiff,best_generalization_acc,52,0.3801494133666673,0.005438242186794716
cho2017,mu_beta_hemi_asym_absdiff,best_delta,52,-0.09332109562560133,0.5105204060476831
cho2017,mu_beta_contra_desync_index,original_acc,52,0.547496055380793,2.663469527324576e-05
cho2017,mu_beta_contra_desync_index,best_generalization_acc,52,0.535538954596838,4.294865834801429e-05
cho2017,mu_beta_contra_desync_index,best_delta,52,0.11722768919849097,0.40786835751953365
cho2017,mu_beta_sensorimotor_logpower,original_acc,52,0.28429321840148947,0.04109291019832946
cho2017,mu_beta_sensorimotor_logpower,best_generalization_acc,52,0.4600213451363511,0.0006010259581143717
cho2017,mu_beta_sensorimotor_logpower,best_delta,52,0.2738158771009181,0.04950295479249499
cho2017,mu_beta_sensorimotor_vs_all,original_acc,52,0.21192844813710673,0.1314832411169868
cho2017,mu_beta_sensorimotor_vs_all,best_generalization_acc,52,0.29886873026165506,0.03137838078690635
cho2017,mu_beta_sensorimotor_vs_all,best_delta,52,0.1165019533221711,0.4107972220120534
cho2017,mu_beta_left_right_balance_abs,original_acc,52,0.1346112806156925,0.3413816646034421
cho2017,mu_beta_left_right_balance_abs,best_generalization_acc,52,-0.05165421562871055,0.7161029025038347
cho2017,mu_beta_left_right_balance_abs,best_delta,52,-0.1458302207946268,0.30227790505250846
cho2017,mu_beta_class_sensorimotor_absdiff,original_acc,52,0.015711053367134423,0.9119758067764139
cho2017,mu_beta_class_sensorimotor_absdiff,best_generalization_acc,52,0.11705442913547466,0.4085664873589573
cho2017,mu_beta_class_sensorimotor_absdiff,best_delta,52,0.2429934475301568,0.08260341642739229
lee2019,mu_hemi_asym_left,original_acc,54,-0.2147635660209252,0.11887456650459338
lee2019,mu_hemi_asym_left,best_generalization_acc,54,-0.2515581827872822,0.06651397218398017
lee2019,mu_hemi_asym_left,best_delta,54,-0.2495567591461071,0.06877992697969149
lee2019,mu_hemi_asym_right,original_acc,54,0.5845579135482585,3.4638512343013653e-06
lee2019,mu_hemi_asym_right,best_generalization_acc,54,0.5737158131457186,5.7583666103386e-06
lee2019,mu_hemi_asym_right,best_delta,54,-0.13749452612389032,0.3214651154132422
lee2019,mu_hemi_asym_diff,original_acc,54,-0.7432100189403584,1.2262053890477874e-10
lee2019,mu_hemi_asym_diff,best_generalization_acc,54,-0.7695416026559881,1.0520253740143829e-11
lee2019,mu_hemi_asym_diff,best_delta,54,-0.059786859945163626,0.667598446401249
lee2019,mu_hemi_asym_absdiff,original_acc,54,0.7322698088856893,3.123254014233121e-10
lee2019,mu_hemi_asym_absdiff,best_generalization_acc,54,0.7621080755089175,2.1723155562278043e-11
lee2019,mu_hemi_asym_absdiff,best_delta,54,0.07694507867942614,0.5802503204148659
lee2019,mu_contra_desync_index,original_acc,54,0.7432100189403584,1.2262053890477874e-10
lee2019,mu_contra_desync_index,best_generalization_acc,54,0.7695416026559881,1.0520253740143829e-11
lee2019,mu_contra_desync_index,best_delta,54,0.059786859945163626,0.667598446401249
lee2019,mu_sensorimotor_logpower,original_acc,54,0.21987153865969059,0.11014739310363438
lee2019,mu_sensorimotor_logpower,best_generalization_acc,54,0.2937958652434587,0.03106277806339647
lee2019,mu_sensorimotor_logpower,best_delta,54,0.32207883032959,0.017545311646719738
lee2019,mu_sensorimotor_vs_all,original_acc,54,0.5333638295642147,3.2861960953666943e-05
lee2019,mu_sensorimotor_vs_all,best_generalization_acc,54,0.4837129536881079,0.00021098259685232095
lee2019,mu_sensorimotor_vs_all,best_delta,54,-0.012010753113983762,0.9313086125804126
lee2019,mu_left_right_balance_abs,original_acc,54,0.3699468243225203,0.005898721212609303
lee2019,mu_left_right_balance_abs,best_generalization_acc,54,0.39752215943412317,0.0029151386947073293
lee2019,mu_left_right_balance_abs,best_delta,54,0.04579337933299841,0.7422994339471743
lee2019,mu_class_sensorimotor_absdiff,original_acc,54,0.20809270623149287,0.1310521627549573
lee2019,mu_class_sensorimotor_absdiff,best_generalization_acc,54,0.2588392273262079,0.05876952427616864
lee2019,mu_class_sensorimotor_absdiff,best_delta,54,0.0587954961960729,0.6727966167469701
lee2019,beta_hemi_asym_left,original_acc,54,-0.08191815821422939,0.555942647008316
lee2019,beta_hemi_asym_left,best_generalization_acc,54,-0.10925378873592223,0.43162106587447224
lee2019,beta_hemi_asym_left,best_delta,54,-0.14820888048906317,0.28482422233710974
