group,n_subjects,mean_original,mean_best_adaptive,mean_best_delta,any_method_reaches_70,persistent_fail_all_methods,mean_n_methods_pass70
Original<70 subject-mean,68,59.85,65.44,5.59,23/68 (33.8%),45/68 (66.2%),0.93
Original>=70 subject-mean,38,80.86,84.95,4.08,37/38 (97.4%),1/38 (2.6%),3.74
