group,baseline,candidate,dataset,feature,n,rho,p
EA_to_Contrastive_TTA,ea_cspnet,ea_supcon_adabn_cspnet,cho2017,source_pool_sim_weight,52,0.19274041817624607,0.1710118992812409
EA_to_Contrastive_TTA,ea_cspnet,ea_supcon_adabn_cspnet,lee2019,baseline_acc,54,-0.11306290196379702,0.4156372205195624
EA_to_Contrastive_TTA,ea_cspnet,ea_supcon_adabn_cspnet,lee2019,cov_condition_num,54,0.04532267989357128,0.7448582505790977
EA_to_Contrastive_TTA,ea_cspnet,ea_supcon_adabn_cspnet,lee2019,source_pool_mean_dist,54,0.03951403963739688,0.7766523857846391
EA_to_Contrastive_TTA,ea_cspnet,ea_supcon_adabn_cspnet,lee2019,source_pool_min_dist,54,0.0820852583569908,0.5551343402716571
EA_to_Contrastive_TTA,ea_cspnet,ea_supcon_adabn_cspnet,lee2019,source_pool_knn3_dist,54,0.08273490891195767,0.5519971200316813
EA_to_Contrastive_TTA,ea_cspnet,ea_supcon_adabn_cspnet,lee2019,source_pool_knn5_dist,54,0.08036559512325497,0.5634793323695175
EA_to_Contrastive_TTA,ea_cspnet,ea_supcon_adabn_cspnet,lee2019,source_pool_knn10_dist,54,0.07184370843163068,0.6056756240828878
EA_to_Contrastive_TTA,ea_cspnet,ea_supcon_adabn_cspnet,lee2019,source_pool_sim_weight,54,-0.03951403963739688,0.7766523857846391
EA_to_Snapshot,ea_conformer,ea_snapshot_conformer,cho2017,baseline_acc,52,0.04295398370585009,0.7623810398409016
EA_to_Snapshot,ea_conformer,ea_snapshot_conformer,cho2017,cov_condition_num,52,0.3205747418664415,0.020502511792880776
EA_to_Snapshot,ea_conformer,ea_snapshot_conformer,cho2017,source_pool_mean_dist,52,0.2534250192701509,0.06986744907481217
EA_to_Snapshot,ea_conformer,ea_snapshot_conformer,cho2017,source_pool_min_dist,52,0.31070103981695507,0.024971962077296024
EA_to_Snapshot,ea_conformer,ea_snapshot_conformer,cho2017,source_pool_knn3_dist,52,0.3227973934100488,0.01959560442624425
EA_to_Snapshot,ea_conformer,ea_snapshot_conformer,cho2017,source_pool_knn5_dist,52,0.32040376867077935,0.020573720104505266
EA_to_Snapshot,ea_conformer,ea_snapshot_conformer,cho2017,source_pool_knn10_dist,52,0.3343380841172407,0.015414036503871182
EA_to_Snapshot,ea_conformer,ea_snapshot_conformer,cho2017,source_pool_sim_weight,52,-0.2907399192234047,0.036528577407378984
EA_to_Snapshot,ea_conformer,ea_snapshot_conformer,lee2019,baseline_acc,54,-0.16035723112036565,0.24673270129552358
EA_to_Snapshot,ea_conformer,ea_snapshot_conformer,lee2019,cov_condition_num,54,-0.056235955053486185,0.6862873232239033
EA_to_Snapshot,ea_conformer,ea_snapshot_conformer,lee2019,source_pool_mean_dist,54,0.05654117054902749,0.6846734010668067
EA_to_Snapshot,ea_conformer,ea_snapshot_conformer,lee2019,source_pool_min_dist,54,-0.04288277712355392,0.7581653331607683
EA_to_Snapshot,ea_conformer,ea_snapshot_conformer,lee2019,source_pool_knn3_dist,54,-0.04681242662864826,0.7367691850495734
EA_to_Snapshot,ea_conformer,ea_snapshot_conformer,lee2019,source_pool_knn5_dist,54,-0.05688453798151147,0.6828594081557885
EA_to_Snapshot,ea_conformer,ea_snapshot_conformer,lee2019,source_pool_knn10_dist,54,-0.053603471404442396,0.7002644217140956
EA_to_Snapshot,ea_conformer,ea_snapshot_conformer,lee2019,source_pool_sim_weight,54,-0.05654117054902749,0.6846734010668067
EA_to_Snapshot,ea_cspnet,ea_snapshot_adabn_cspnet,cho2017,baseline_acc,52,-0.3679372416976228,0.007283660606630278
EA_to_Snapshot,ea_cspnet,ea_snapshot_adabn_cspnet,cho2017,cov_condition_num,52,-0.14768745486938517,0.2960952661357806
EA_to_Snapshot,ea_cspnet,ea_snapshot_adabn_cspnet,cho2017,source_pool_mean_dist,52,-0.0008981860852178072,0.9949578326518059
EA_to_Snapshot,ea_cspnet,ea_snapshot_adabn_cspnet,cho2017,source_pool_min_dist,52,-0.05782607558164169,0.683865372167477
EA_to_Snapshot,ea_cspnet,ea_snapshot_adabn_cspnet,cho2017,source_pool_knn3_dist,52,-0.057954387879529945,0.6832008144014705
EA_to_Snapshot,ea_cspnet,ea_snapshot_adabn_cspnet,cho2017,source_pool_knn5_dist,52,-0.07313800979630718,0.6063602045083616
EA_to_Snapshot,ea_cspnet,ea_snapshot_adabn_cspnet,cho2017,source_pool_knn10_dist,52,-0.1080389548219134,0.4458351006236678
