group,baseline,candidate,dataset,subject,baseline_acc,candidate_acc,delta,n_trials,cov_condition_num,source_pool_mean_dist,source_pool_min_dist,source_pool_knn3_dist,source_pool_knn5_dist,source_pool_knn10_dist,source_pool_sim_weight
EA_to_Contrastive,ea_cspnet,ea_supcon_cspnet,cho2017,1,68.5,68.0,-0.5,200,1.7572200610746684,0.36926017192491833,0.16405728043488307,0.16944682653645157,0.1792200382745948,0.19526352825582705,35.87254818930299
EA_to_Contrastive,ea_cspnet,ea_supcon_cspnet,cho2017,2,58.5,56.5,-2.0,200,1.2232893360485422,0.2638211218703175,0.06147148992482408,0.06279615728517192,0.06412622947530701,0.06902770650718368,40.709657298391456
EA_to_Contrastive,ea_cspnet,ea_supcon_cspnet,cho2017,3,93.5,91.5,-2.0,200,1.3140596304339134,0.24388772583180457,0.0572995665011541,0.07191070387130453,0.07586453931370482,0.08567315799063197,41.299418722072055
EA_to_Contrastive,ea_cspnet,ea_supcon_cspnet,cho2017,4,95.0,93.0,-2.0,200,1.5961470571293874,0.2860234350804987,0.08356628441830592,0.0965589749625899,0.10695478330853778,0.12634778222941884,39.16406163182961
EA_to_Contrastive,ea_cspnet,ea_supcon_cspnet,cho2017,5,72.0,72.0,0.0,200,1.2537669978617942,0.25772824240499026,0.05069114675701112,0.06194370724222505,0.06858505330080936,0.07562959706067789,40.90282446765761
EA_to_Contrastive,ea_cspnet,ea_supcon_cspnet,cho2017,6,67.5,66.0,-1.5,200,1.095735403919357,0.34322810410614635,0.05839762620652941,0.07049792185090219,0.0741800047205923,0.09346355344605531,37.79232909685925
EA_to_Contrastive,ea_cspnet,ea_supcon_cspnet,cho2017,7,62.5,62.9167,0.42,240,1.1462312054518973,0.30277623328876996,0.03198455906907271,0.04036271806891311,0.04450478501419739,0.06131540865005425,39.314705244438954
EA_to_Contrastive,ea_cspnet,ea_supcon_cspnet,cho2017,8,54.5,55.5,1.0,200,1.293761532938797,0.24564193993666847,0.06780663020356528,0.07082961687357271,0.07388075188153806,0.08065481251137989,41.293324301659666
EA_to_Contrastive,ea_cspnet,ea_supcon_cspnet,cho2017,9,74.5833,74.1667,-0.42,240,1.174980663605056,0.28556149183394275,0.03553863736837744,0.042342707279835516,0.04500781090150707,0.05925608890890031,39.952723374292525
EA_to_Contrastive,ea_cspnet,ea_supcon_cspnet,cho2017,10,86.5,87.5,1.0,200,1.542136128473569,0.26415717119217563,0.06673635045681493,0.07378219511223744,0.0822354635068159,0.10143506306687158,40.105916715315516
EA_to_Contrastive,ea_cspnet,ea_supcon_cspnet,cho2017,11,71.0,72.5,1.5,200,1.4380385104009565,0.25855069794287555,0.09106164482345513,0.09540462486044353,0.10075019237300445,0.11056977542229103,40.45868751894829
EA_to_Contrastive,ea_cspnet,ea_supcon_cspnet,cho2017,12,71.5,72.0,0.5,200,2.683748672824832,0.6927324479785524,0.32527071176449107,0.3637529413481879,0.3989451541175501,0.44707539546345937,25.831328633515124
EA_to_Contrastive,ea_cspnet,ea_supcon_cspnet,cho2017,13,53.0,52.5,-0.5,200,1.4057926216684957,0.26581777933942113,0.09875140953523012,0.103944091931351,0.10647353639137906,0.11717602259897397,40.237185132546266
EA_to_Contrastive,ea_cspnet,ea_supcon_cspnet,cho2017,14,95.0,93.5,-1.5,200,1.4519943542994516,0.2640686705374614,0.10893681531142532,0.10973020069730333,0.11121452630762899,0.11774272083381096,40.18540549739316
EA_to_Contrastive,ea_cspnet,ea_supcon_cspnet,cho2017,15,80.0,82.0,2.0,200,1.3511851691075387,0.24373432563602304,0.07573304106297848,0.08012972165399602,0.08268290389316224,0.09005911373148842,41.24414597657442
EA_to_Contrastive,ea_cspnet,ea_supcon_cspnet,cho2017,16,63.0,69.5,6.5,200,1.4010813562870639,0.24503079849045334,0.0649459805913477,0.0812902887612202,0.08831855881073972,0.09952495518987066,41.07949038575865
EA_to_Contrastive,ea_cspnet,ea_supcon_cspnet,cho2017,17,55.5,59.0,3.5,200,1.2365419037185048,0.2586038982442561,0.042421792322512725,0.046254862941545925,0.05290539435219528,0.06327849424843099,40.90842014903557
EA_to_Contrastive,ea_cspnet,ea_supcon_cspnet,cho2017,18,68.5,66.5,-2.0,200,1.2535067145837633,0.25435591549247993,0.043433752243413906,0.05377393513936287,0.06051090263858485,0.0691528060945114,41.03927059938352
EA_to_Contrastive,ea_cspnet,ea_supcon_cspnet,cho2017,19,76.0,72.5,-3.5,200,1.2127793824978812,0.29737433607740876,0.07590837375760776,0.08971854062584383,0.09453168308315604,0.10295635074373247,39.340109033664596
EA_to_Contrastive,ea_cspnet,ea_supcon_cspnet,cho2017,20,70.5,62.5,-8.0,200,1.7705549570962116,0.34460441406376036,0.13320241029985164,0.14158376473224513,0.14674245802863722,0.15908275486742846,36.79784741886056
EA_to_Contrastive,ea_cspnet,ea_supcon_cspnet,cho2017,21,84.5,83.5,-1.0,200,2.022601398085592,0.4587290737319777,0.19460849274880826,0.20635171719847875,0.22944810117780748,0.2621558456408376,32.69165030437851
EA_to_Contrastive,ea_cspnet,ea_supcon_cspnet,cho2017,22,74.0,71.5,-2.5,200,1.4284535996479713,0.2450762786698946,0.06940719784664898,0.08082362346251859,0.08533292006707235,0.09162327778464366,41.047268297962006
EA_to_Contrastive,ea_cspnet,ea_supcon_cspnet,cho2017,23,89.5,86.5,-3.0,200,1.516818892710418,0.2591661899615416,0.07601557873434747,0.0780417580602436,0.08741161563367517,0.09988261400343651,40.335312095737834
EA_to_Contrastive,ea_cspnet,ea_supcon_cspnet,cho2017,24,70.5,74.0,3.5,200,1.2566153521964532,0.2688210240302914,0.09396168052862607,0.0956053766424932,0.09687735480252975,0.10152451355237549,40.390864523751965
EA_to_Contrastive,ea_cspnet,ea_supcon_cspnet,cho2017,25,79.5,76.0,-3.5,200,1.3040650367104427,0.2524572213464208,0.07573304106297893,0.0821315763126059,0.08437414224534766,0.08935775133162503,40.991134374569256
EA_to_Contrastive,ea_cspnet,ea_supcon_cspnet,cho2017,26,72.0,73.0,1.0,200,1.2329533181297911,0.2658758694300621,0.05069114675701148,0.06313771833715162,0.06860298532024536,0.07409284100101554,40.62730567901386
EA_to_Contrastive,ea_cspnet,ea_supcon_cspnet,cho2017,27,58.0,57.5,-0.5,200,1.3376505437814579,0.40593124012527115,0.24473731608650848,0.2674238535628687,0.27321802647254795,0.27960517257694717,34.973869758373674
EA_to_Contrastive,ea_cspnet,ea_supcon_cspnet,cho2017,28,49.5,49.5,0.0,200,1.3889454512616388,0.24128038724964604,0.06086205990809402,0.06941854266822624,0.07490201285474982,0.08535214393983956,41.275805019744844
