train_dataset,test_dataset,subject,baseline_acc,baseline_bac,baseline_file,candidate_acc,candidate_bac,candidate_file,comparison,delta,common_n_channels,source_dataset_mean_dist,source_dataset_min_dist,source_dataset_knn3_dist,source_dataset_knn5_dist,source_dataset_knn10_dist,source_dataset_sim_weight
cho2017,lee2019,16,52.5,52.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,49.0,49.0,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_SubjectEA,-3.5,48,0.23613952893161902,0.04842869478919427,0.06652329082926131,0.07337976068841093,0.08478205106274402,41.94657291737748
cho2017,lee2019,17,57.0,57.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,53.5,53.5,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_SubjectEA,-3.5,48,0.23606134839461745,0.04836640196798042,0.06645141762767372,0.0733064281617141,0.08470874427903433,41.94986585423694
cho2017,lee2019,18,57.5,57.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,50.0,50.0,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_SubjectEA,-7.5,48,0.23621006000755024,0.04849173486031865,0.06659394764131664,0.07344917211462097,0.0848512681862538,41.94362010404848
cho2017,lee2019,19,66.0,66.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,54.5,54.5,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_SubjectEA,-11.5,48,0.2361529892508823,0.048443769350548053,0.06653725686131116,0.07339375466459566,0.08479612079385476,41.9460105680839
cho2017,lee2019,20,51.5,51.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,49.5,49.5,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_SubjectEA,-2.0,48,0.23613961756899113,0.04842975012438416,0.06652327515821005,0.07337948220363308,0.08478198861218691,41.94657791642462
cho2017,lee2019,21,81.0,81.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,55.0,55.0,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_SubjectEA,-26.0,48,0.2361380953987505,0.04842470421149122,0.06652116537854258,0.07337738841588853,0.08477992218576116,41.946638272143275
cho2017,lee2019,22,67.0,67.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,50.5,50.5,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_SubjectEA,-16.5,48,0.2360425609429525,0.04835264966290697,0.06642965381515098,0.07328715397058877,0.0846884665005641,41.95064841980381
cho2017,lee2019,23,55.5,55.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,60.0,60.0,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_SubjectEA,4.5,48,0.23613986709162957,0.04842642931874549,0.06652208448151231,0.07337899531102204,0.0847815120104,41.94656373235656
cho2017,lee2019,24,50.0,50.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,50.0,50.0,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_SubjectEA,0.0,48,0.23619824725135866,0.048482552602775154,0.06658285658724018,0.07343815328501066,0.08483995337108796,41.9441162942069
cho2017,lee2019,25,50.0,50.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,51.5,51.5,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_SubjectEA,1.5,48,0.23617627379434505,0.04846187668764196,0.06656034411248427,0.07341599008927072,0.08481817394585667,41.94503727623889
cho2017,lee2019,26,50.5,50.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,50.0,50.0,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_SubjectEA,-0.5,48,0.2360602770855733,0.04836967830726768,0.06644504220482939,0.07330440501140467,0.08470723710097358,41.94988229106515
cho2017,lee2019,27,51.0,51.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,50.5,50.5,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_SubjectEA,-0.5,48,0.23622917409113714,0.04850611305587784,0.06661302654467237,0.07346746621117518,0.08486899909299493,41.94282399798191
cho2017,lee2019,28,50.5,50.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,53.0,53.0,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_SubjectEA,2.5,48,0.23616766669464775,0.04845479216202771,0.06655127222695251,0.07340726241660436,0.08480984273264075,41.945397318244765
cho2017,lee2019,29,65.0,65.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,57.0,57.0,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_SubjectEA,-8.0,48,0.23602999671563651,0.04834411904161249,0.06641666995425437,0.07327627231017632,0.08467799739106072,41.95114663589835
cho2017,lee2019,30,51.0,51.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,51.0,51.0,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_SubjectEA,0.0,48,0.23616053719430555,0.04844407552029042,0.06654465740976555,0.07339954190410483,0.08480197829686893,41.94570272141948
cho2017,lee2019,31,50.0,50.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,50.0,50.0,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_SubjectEA,0.0,48,0.2362057318089505,0.04848959541953203,0.06658997332884546,0.07344526618298743,0.08484743998511256,41.943802791552685
cho2017,lee2019,32,66.0,66.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,63.5,63.5,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_SubjectEA,-2.5,48,0.23621422805704057,0.048492126107492484,0.0665981579413068,0.073452652735396,0.08485449631134834,41.94345430123317
cho2017,lee2019,33,60.5,60.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,53.0,53.0,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_SubjectEA,-7.5,48,0.23610990610855936,0.04840274865968007,0.06649257096813903,0.07334959569391097,0.08475254686425568,41.94782425789119
cho2017,lee2019,34,48.5,48.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,50.0,50.0,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_SubjectEA,1.5,48,0.23606628436596117,0.04834804810986023,0.06644907529826062,0.07330383597944612,0.08470800533274805,41.94969076513989
cho2017,lee2019,35,50.5,50.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,50.0,50.0,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_SubjectEA,-0.5,48,0.2361822215991029,0.048463161418052535,0.0665666414441269,0.0734207387040818,0.08482385124787291,41.9448031337838
cho2017,lee2019,36,72.0,72.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,80.5,80.5,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_SubjectEA,8.5,48,0.23614856670058584,0.04843759682880339,0.06653200665885146,0.07338789799187627,0.08479106078061623,41.9462070019433
cho2017,lee2019,37,52.5,52.5,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,55.0,55.0,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_SubjectEA,2.5,48,0.23619614629597807,0.048476575870910754,0.06657892696513107,0.07343429644809149,0.08483673692745398,41.944210382322616
cho2017,lee2019,38,50.0,50.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,50.5,50.5,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_SubjectEA,0.5,48,0.23620352386409363,0.0484859937202087,0.06658847134840466,0.07344319068589467,0.08484505186025035,41.9438963866827
cho2017,lee2019,39,59.0,59.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,59.0,59.0,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_SubjectEA,0.0,48,0.23601417817435938,0.048335098573593326,0.06639890844047185,0.0732602271315709,0.08466383372030489,41.9518130110124
cho2017,lee2019,40,50.0,50.0,loso_results_20260604_cross_stdmi_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,49.5,49.5,loso_results_20260604_cross_stdmi_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv,CrossCSP_to_SubjectEA,-0.5,48,0.23615129407581611,0.048439689956368444,0.06653552343389074,0.0733915151066277,0.08479385103203783,41.94607845573964
