variant,cho_to_lee_acc,cho_to_lee_kappa,lee_to_cho_acc,lee_to_cho_kappa,cho_to_lee_csv,lee_to_cho_csv
base,68.96,0.379,65.10,0.302,/home/hkim/MI_test/results/loso_results_20260608_metrics_final_base_cross_cho2017_to_lee2019_csp_lda.csv,/home/hkim/MI_test/results/loso_results_20260608_metrics_final_base_cross_lee2019_to_cho2017_csp_lda.csv
session_ea,70.74,0.415,65.13,0.303,/home/hkim/MI_test/results/loso_results_20260608_metrics_final_session_ea_cross_cho2017_to_lee2019_csp_lda.csv,/home/hkim/MI_test/results/loso_results_20260608_metrics_final_session_ea_cross_lee2019_to_cho2017_csp_lda.csv
session_ea_feature_coral,70.20,0.404,65.66,0.313,/home/hkim/MI_test/results/loso_results_20260608_metrics_final_session_ea_feature_coral_cross_cho2017_to_lee2019_csp_lda.csv,/home/hkim/MI_test/results/loso_results_20260608_metrics_final_session_ea_feature_coral_cross_lee2019_to_cho2017_csp_lda.csv
