"group","baseline","candidate","dataset","subject","baseline_acc","candidate_acc","delta"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","20","67.5","72.5","5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","21","88.5","87","-1.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","22","70","69.5","-0.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","23","79.5","74","-5.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","24","59.5","60.5","1"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","25","58","61","3"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","26","62.5","64","1.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","27","51.5","56","4.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","28","86","86.5","0.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","29","73","62.5","-10.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","30","71","66","-5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","31","62.5","63","0.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","32","94","93.5","-0.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","33","93","94","1"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","34","51","48.5","-2.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","35","55","55","0"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","36","88.5","94.5","6"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","37","96","96.5","0.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","38","64.5","64.5","0"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","39","82.5","87","4.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","40","63","63","0"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","41","53.5","54.5","1"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","42","68.5","72.5","4"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","43","68","67","-1"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","44","85","88","3"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","45","79","79","0"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","46","70","73.5","3.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","47","63","74","11"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","48","53","58","5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","49","71","67.5","-3.5"
"NoEA_to_EA","eegnet_noea","ea_eegnet","lee2019","50","50.5","54.5","4"
