"method","backbone","gen_method","dataset","n","mean_acc","sd_acc","median_acc","p10_acc","q1_acc","q3_acc","iqr_acc","min_acc","max_acc","coverage_ge_60_pct","coverage_ge_70_pct"
"ea_snapshot_adabn_x4_cspnet","CSPNet","EA+Snapshot","cho2017","52","70.06","12.21","68.5","53.5","63.5","76","12.5","47.5","96","82.7","46.2"
"ea_snapshot_adabn_x4_cspnet","CSPNet","EA+Snapshot","lee2019","54","72.94","12.93","70","57.5","62","83.5","21.5","44.5","97.5","85.2","51.9"
"ea_snapshot_conformer","Conformer","EA+Snapshot","all","106","70.07","12.39","68.5","54.5","60","78","18","49","98","77.4","48.1"
"ea_snapshot_conformer","Conformer","EA+Snapshot","cho2017","52","69.34","12.26","68","55","60.5","76","15.5","49","98","78.8","46.2"
"ea_snapshot_conformer","Conformer","EA+Snapshot","lee2019","54","70.77","12.58","69.5","54.5","60","79.5","19.5","51","96","75.9","50"
"ea_snapshot_eegnet","EEGNet","EA+Snapshot","all","106","70.08","13.14","68.5","53.5","60","79.2","19.2","46.5","97.5","76.4","47.2"
"ea_snapshot_eegnet","EEGNet","EA+Snapshot","cho2017","52","69.08","12.99","68","53","60","78","18","47.5","97","76.9","42.3"
"ea_snapshot_eegnet","EEGNet","EA+Snapshot","lee2019","54","71.05","13.33","70.5","55","60","80.5","20.5","46.5","97.5","75.9","51.9"
"ea_subjclust_tau1_cspnet","CSPNet","EA+SubjectClust","all","106","71.22","12.86","70.5","55","61.5","80.5","19","44","97","80.2","50.9"
"ea_subjclust_tau1_cspnet","CSPNet","EA+SubjectClust","cho2017","52","70.58","12.52","69.5","53","60.42","75.5","15.08","48.5","97","76.9","50"
"ea_subjclust_tau1_cspnet","CSPNet","EA+SubjectClust","lee2019","54","71.83","13.27","71","55","61.5","81","19.5","44","95.5","83.3","51.9"
"ea_subjclust_tau5_cspnet","CSPNet","EA+SubjectClust","all","106","71.85","13.23","70.5","54","62.5","81","18.5","47.5","97","80.2","57.5"
"ea_subjclust_tau5_cspnet","CSPNet","EA+SubjectClust","cho2017","52","71.18","13.37","70.83","53.5","62.08","80.5","18.42","48","97","76.9","61.5"
"ea_subjclust_tau5_cspnet","CSPNet","EA+SubjectClust","lee2019","54","72.5","13.2","70.5","56","62.5","81","18.5","47.5","96.5","83.3","53.7"
"ea_supcon_adabn_cspnet","CSPNet","EA+SupCon+AdaBN","all","106","72.08","12.91","71.5","56","61.5","80.5","19","45.5","97.5","78.3","57.5"
"ea_supcon_adabn_cspnet","CSPNet","EA+SupCon+AdaBN","cho2017","52","71.81","12.91","71.67","53","62.92","79","16.08","49","97.5","76.9","59.6"
