train_dataset,test_dataset,direction,subject,CSP-LDA baseline,DSA+SEA+SessionEA+SourceWeight+CSPNet,DatasetEA+SubjectEA+CSP-LDA,SessionEA+CSP-LDA,baseline_illiterate,DatasetEA+SubjectEA+CSP-LDA_pass70,DatasetEA+SubjectEA+CSP-LDA_delta,SessionEA+CSP-LDA_pass70,SessionEA+CSP-LDA_delta,DSA+SEA+SessionEA+SourceWeight+CSPNet_pass70,DSA+SEA+SessionEA+SourceWeight+CSPNet_delta,any_combined_pass70,all_combined_fail70,n_combined_pass70,best_combined_acc,best_combined_method,best_combined_delta
cho2017,lee2019,cho2017->lee2019,31,50.0,64.5,63.0,69.0,True,False,13.0,False,19.0,False,14.5,False,True,0,69.0,SessionEA+CSP-LDA,19.0
cho2017,lee2019,cho2017->lee2019,32,66.0,93.5,94.0,93.0,True,True,28.0,True,27.0,True,27.5,True,False,3,94.0,DatasetEA+SubjectEA+CSP-LDA,28.0
cho2017,lee2019,cho2017->lee2019,33,60.5,95.5,85.5,86.0,True,True,25.0,True,25.5,True,35.0,True,False,3,95.5,DSA+SEA+SessionEA+SourceWeight+CSPNet,35.0
cho2017,lee2019,cho2017->lee2019,34,48.5,44.5,44.0,43.0,True,False,-4.5,False,-5.5,False,-4.0,False,True,0,44.5,DSA+SEA+SessionEA+SourceWeight+CSPNet,-4.0
cho2017,lee2019,cho2017->lee2019,35,50.5,53.5,48.5,51.0,True,False,-2.0,False,0.5,False,3.0,False,True,0,53.5,DSA+SEA+SessionEA+SourceWeight+CSPNet,3.0
cho2017,lee2019,cho2017->lee2019,36,72.0,94.0,96.5,96.0,False,True,24.5,True,24.0,True,22.0,True,False,3,96.5,DatasetEA+SubjectEA+CSP-LDA,24.5
cho2017,lee2019,cho2017->lee2019,37,52.5,95.5,91.0,91.5,True,True,38.5,True,39.0,True,43.0,True,False,3,95.5,DSA+SEA+SessionEA+SourceWeight+CSPNet,43.0
cho2017,lee2019,cho2017->lee2019,38,50.0,65.0,61.0,63.0,True,False,11.0,False,13.0,False,15.0,False,True,0,65.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,15.0
cho2017,lee2019,cho2017->lee2019,39,59.0,88.0,84.0,85.0,True,True,25.0,True,26.0,True,29.0,True,False,3,88.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,29.0
cho2017,lee2019,cho2017->lee2019,40,50.0,68.0,54.0,58.5,True,False,4.0,False,8.5,False,18.0,False,True,0,68.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,18.0
cho2017,lee2019,cho2017->lee2019,41,50.0,60.0,60.0,60.5,True,False,10.0,False,10.5,False,10.0,False,True,0,60.5,SessionEA+CSP-LDA,10.5
cho2017,lee2019,cho2017->lee2019,42,57.0,70.5,71.0,68.5,True,True,14.0,False,11.5,True,13.5,True,False,2,71.0,DatasetEA+SubjectEA+CSP-LDA,14.0
cho2017,lee2019,cho2017->lee2019,43,51.5,71.5,73.0,71.5,True,True,21.5,True,20.0,True,20.0,True,False,3,73.0,DatasetEA+SubjectEA+CSP-LDA,21.5
cho2017,lee2019,cho2017->lee2019,44,50.0,93.5,84.0,90.0,True,True,34.0,True,40.0,True,43.5,True,False,3,93.5,DSA+SEA+SessionEA+SourceWeight+CSPNet,43.5
cho2017,lee2019,cho2017->lee2019,45,50.0,85.0,70.5,82.0,True,True,20.5,True,32.0,True,35.0,True,False,3,85.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,35.0
cho2017,lee2019,cho2017->lee2019,46,51.0,76.5,72.0,73.0,True,True,21.0,True,22.0,True,25.5,True,False,3,76.5,DSA+SEA+SessionEA+SourceWeight+CSPNet,25.5
cho2017,lee2019,cho2017->lee2019,47,56.0,72.0,65.5,64.5,True,False,9.5,False,8.5,True,16.0,True,False,1,72.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,16.0
cho2017,lee2019,cho2017->lee2019,48,53.5,55.5,58.0,60.5,True,False,4.5,False,7.0,False,2.0,False,True,0,60.5,SessionEA+CSP-LDA,7.0
cho2017,lee2019,cho2017->lee2019,49,55.5,74.0,76.0,75.5,True,True,20.5,True,20.0,True,18.5,True,False,3,76.0,DatasetEA+SubjectEA+CSP-LDA,20.5
cho2017,lee2019,cho2017->lee2019,50,50.5,58.0,54.0,58.5,True,False,3.5,False,8.0,False,7.5,False,True,0,58.5,SessionEA+CSP-LDA,8.0
cho2017,lee2019,cho2017->lee2019,51,61.5,62.5,61.5,59.0,True,False,0.0,False,-2.5,False,1.0,False,True,0,62.5,DSA+SEA+SessionEA+SourceWeight+CSPNet,1.0
cho2017,lee2019,cho2017->lee2019,52,53.0,68.5,69.0,67.5,True,False,16.0,False,14.5,False,15.5,False,True,0,69.0,DatasetEA+SubjectEA+CSP-LDA,16.0
cho2017,lee2019,cho2017->lee2019,53,57.5,66.5,62.5,62.5,True,False,5.0,False,5.0,False,9.0,False,True,0,66.5,DSA+SEA+SessionEA+SourceWeight+CSPNet,9.0
cho2017,lee2019,cho2017->lee2019,54,51.0,64.0,58.5,54.0,True,False,7.5,False,3.0,False,13.0,False,True,0,64.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,13.0
