method,train_dataset,test_dataset,direction,subject,acc,bac,source_file
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,38,65.0,65.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,39,88.0,88.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,40,68.0,68.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,41,60.0,60.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,42,70.5,70.5,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,43,71.5,71.5,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,44,93.5,93.5,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,45,85.0,85.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,46,76.5,76.5,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,47,72.0,72.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,48,55.5,55.5,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,49,74.0,74.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,50,58.0,58.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,51,62.5,62.5,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,52,68.5,68.5,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,53,66.5,66.5,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,cho2017,lee2019,cho2017->lee2019,54,64.0,64.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_cho2017_to_lee2019_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,1,67.5,67.5,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,2,55.5,55.5,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,3,94.5,94.5,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,4,92.0,92.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,5,67.0,67.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,6,57.0,57.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,7,61.3,61.3,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,8,53.0,53.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,9,71.2,71.2,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,10,85.5,85.5,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,11,70.5,70.5,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,12,76.5,76.5,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,13,57.0,57.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,14,92.0,92.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,15,72.5,72.5,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,16,66.5,66.5,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,17,55.0,55.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,18,67.5,67.5,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,19,74.5,74.5,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,20,71.5,71.5,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,21,74.0,74.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,22,66.0,66.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,23,88.0,88.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,24,76.5,76.5,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,25,78.5,78.5,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,26,69.5,69.5,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,27,62.5,62.5,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,28,51.5,51.5,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,29,55.5,55.5,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,30,76.0,76.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,31,68.0,68.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,32,49.0,49.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,33,60.0,60.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,34,51.0,51.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,35,56.5,56.5,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,36,69.5,69.5,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,37,50.0,50.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,38,65.0,65.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,39,81.0,81.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,40,47.0,47.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,41,93.0,93.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,42,69.5,69.5,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,43,97.0,97.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,44,73.0,73.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,45,67.0,67.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,46,73.3,73.3,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,47,65.5,65.5,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,48,90.0,90.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,49,63.0,63.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,50,61.0,61.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,51,63.0,63.0,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DSA+SEA+SessionEA+SourceWeight+CSPNet,lee2019,cho2017,lee2019->cho2017,52,80.5,80.5,loso_results_20260615_sfreq100_datasetea_subjectea_sessionea_sourceweight_tau5_cross_lee2019_to_cho2017_cspnet.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,1,66.5,66.5,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,2,62.0,62.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,3,81.5,81.5,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,4,59.5,59.5,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,5,79.0,79.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,6,61.0,61.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,7,56.0,56.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,8,67.5,67.5,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,9,74.5,74.5,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,10,63.0,63.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,11,51.5,51.5,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,12,64.0,64.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,13,62.5,62.5,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,14,70.0,70.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,15,53.5,53.5,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,16,61.0,61.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,17,71.0,71.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,18,89.0,89.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,19,81.5,81.5,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,20,59.5,59.5,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,21,93.5,93.5,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,22,72.5,72.5,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,23,74.5,74.5,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,24,54.5,54.5,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,25,56.0,56.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,26,62.5,62.5,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,27,52.5,52.5,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,28,79.5,79.5,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,29,79.0,79.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,30,62.0,62.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,31,63.0,63.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,32,94.0,94.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,33,85.5,85.5,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,34,44.0,44.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,35,48.5,48.5,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,36,96.5,96.5,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,37,91.0,91.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,38,61.0,61.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,39,84.0,84.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,40,54.0,54.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,41,60.0,60.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,42,71.0,71.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,43,73.0,73.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,44,84.0,84.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,45,70.5,70.5,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,46,72.0,72.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,47,65.5,65.5,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,48,58.0,58.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,49,76.0,76.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,50,54.0,54.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,51,61.5,61.5,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,52,69.0,69.0,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
DatasetEA+SubjectEA+CSP-LDA,cho2017,lee2019,cho2017->lee2019,53,62.5,62.5,loso_results_20260604_cross_stdmi_datasetea_ea_csp_lda_cross_cho2017_to_lee2019_csp_lda.csv
