dataset,subject,backbone,method,acc
lee2019,53,EEGNet,EA,66.0
lee2019,54,EEGNet,EA,62.5
cho2017,1,CSPNet,EA,68.5
cho2017,2,CSPNet,EA,58.5
cho2017,3,CSPNet,EA,93.5
cho2017,4,CSPNet,EA,95.0
cho2017,5,CSPNet,EA,72.0
cho2017,6,CSPNet,EA,67.5
cho2017,7,CSPNet,EA,62.5
cho2017,8,CSPNet,EA,54.5
cho2017,9,CSPNet,EA,74.5833
cho2017,10,CSPNet,EA,86.5
cho2017,11,CSPNet,EA,71.0
cho2017,12,CSPNet,EA,71.5
cho2017,13,CSPNet,EA,53.0
cho2017,14,CSPNet,EA,95.0
cho2017,15,CSPNet,EA,80.0
cho2017,16,CSPNet,EA,63.0
cho2017,17,CSPNet,EA,55.5
cho2017,18,CSPNet,EA,68.5
cho2017,19,CSPNet,EA,76.0
cho2017,20,CSPNet,EA,70.5
cho2017,21,CSPNet,EA,84.5
cho2017,22,CSPNet,EA,74.0
cho2017,23,CSPNet,EA,89.5
cho2017,24,CSPNet,EA,70.5
cho2017,25,CSPNet,EA,79.5
cho2017,26,CSPNet,EA,72.0
cho2017,27,CSPNet,EA,58.0
cho2017,28,CSPNet,EA,49.5
cho2017,29,CSPNet,EA,56.0
cho2017,30,CSPNet,EA,63.5
cho2017,31,CSPNet,EA,66.0
cho2017,32,CSPNet,EA,54.0
cho2017,33,CSPNet,EA,67.5
cho2017,34,CSPNet,EA,52.0
cho2017,35,CSPNet,EA,57.5
cho2017,36,CSPNet,EA,71.5
cho2017,37,CSPNet,EA,57.0
cho2017,38,CSPNet,EA,69.5
cho2017,39,CSPNet,EA,79.5
cho2017,40,CSPNet,EA,54.0
cho2017,41,CSPNet,EA,96.5
cho2017,42,CSPNet,EA,67.5
cho2017,43,CSPNet,EA,97.0
cho2017,44,CSPNet,EA,80.0
cho2017,45,CSPNet,EA,68.5
cho2017,46,CSPNet,EA,81.25
cho2017,47,CSPNet,EA,74.0
cho2017,48,CSPNet,EA,95.5
cho2017,49,CSPNet,EA,73.5
cho2017,50,CSPNet,EA,70.5
cho2017,51,CSPNet,EA,68.0
cho2017,52,CSPNet,EA,79.5
lee2019,1,CSPNet,EA,86.5
lee2019,2,CSPNet,EA,80.0
lee2019,3,CSPNet,EA,84.5
lee2019,4,CSPNet,EA,60.0
lee2019,5,CSPNet,EA,93.0
lee2019,6,CSPNet,EA,73.0
lee2019,7,CSPNet,EA,64.5
lee2019,8,CSPNet,EA,78.5
lee2019,9,CSPNet,EA,83.0
lee2019,10,CSPNet,EA,67.0
lee2019,11,CSPNet,EA,54.5
lee2019,12,CSPNet,EA,67.5
lee2019,13,CSPNet,EA,62.5
lee2019,14,CSPNet,EA,77.5
lee2019,15,CSPNet,EA,60.0
lee2019,16,CSPNet,EA,58.0
lee2019,17,CSPNet,EA,68.0
lee2019,18,CSPNet,EA,85.0
lee2019,19,CSPNet,EA,84.5
lee2019,20,CSPNet,EA,73.0
lee2019,21,CSPNet,EA,83.0
lee2019,22,CSPNet,EA,70.0
lee2019,23,CSPNet,EA,76.5
lee2019,24,CSPNet,EA,54.5
lee2019,25,CSPNet,EA,56.0
lee2019,26,CSPNet,EA,63.5
lee2019,27,CSPNet,EA,55.5
