dataset,subject,backbone,method,acc,reference_acc,reference,delta
lee2019,29,EEGNet,TENT,62.0,73.0,Original,-11.0
lee2019,30,EEGNet,TENT,65.5,71.0,Original,-5.5
lee2019,31,EEGNet,TENT,70.0,62.5,Original,7.5
lee2019,32,EEGNet,TENT,92.5,94.0,Original,-1.5
lee2019,33,EEGNet,TENT,94.5,93.0,Original,1.5
lee2019,34,EEGNet,TENT,45.0,51.0,Original,-6.0
lee2019,35,EEGNet,TENT,55.0,55.0,Original,0.0
lee2019,36,EEGNet,TENT,94.5,88.5,Original,6.0
lee2019,37,EEGNet,TENT,97.5,96.0,Original,1.5
lee2019,38,EEGNet,TENT,66.0,64.5,Original,1.5
lee2019,39,EEGNet,TENT,88.0,82.5,Original,5.5
lee2019,40,EEGNet,TENT,63.0,63.0,Original,0.0
lee2019,41,EEGNet,TENT,52.5,53.5,Original,-1.0
lee2019,42,EEGNet,TENT,72.0,68.5,Original,3.5
lee2019,43,EEGNet,TENT,64.0,68.0,Original,-4.0
lee2019,44,EEGNet,TENT,90.0,85.0,Original,5.0
lee2019,45,EEGNet,TENT,79.0,79.0,Original,0.0
lee2019,46,EEGNet,TENT,77.0,70.0,Original,7.0
lee2019,47,EEGNet,TENT,76.0,63.0,Original,13.0
lee2019,48,EEGNet,TENT,57.0,53.0,Original,4.0
lee2019,49,EEGNet,TENT,73.0,71.0,Original,2.0
lee2019,50,EEGNet,TENT,60.0,50.5,Original,9.5
lee2019,51,EEGNet,TENT,64.0,62.0,Original,2.0
lee2019,52,EEGNet,TENT,66.5,67.5,Original,-1.0
lee2019,53,EEGNet,TENT,64.0,65.5,Original,-1.5
lee2019,54,EEGNet,TENT,62.5,59.5,Original,3.0
cho2017,1,CSPNet,TENT,68.0,67.5,Original,0.5
cho2017,2,CSPNet,TENT,56.0,53.5,Original,2.5
cho2017,3,CSPNet,TENT,93.5,90.5,Original,3.0
cho2017,4,CSPNet,TENT,90.5,84.0,Original,6.5
cho2017,5,CSPNet,TENT,74.0,61.0,Original,13.0
cho2017,6,CSPNet,TENT,62.0,61.0,Original,1.0
cho2017,7,CSPNet,TENT,64.1667,64.1667,Original,0.0
cho2017,8,CSPNet,TENT,55.5,55.5,Original,0.0
cho2017,9,CSPNet,TENT,72.5,69.5833,Original,2.916700000000006
cho2017,10,CSPNet,TENT,87.5,80.0,Original,7.5
cho2017,11,CSPNet,TENT,68.0,60.5,Original,7.5
cho2017,12,CSPNet,TENT,74.5,55.0,Original,19.5
cho2017,13,CSPNet,TENT,52.0,55.5,Original,-3.5
cho2017,14,CSPNet,TENT,96.0,90.5,Original,5.5
cho2017,15,CSPNet,TENT,78.0,63.5,Original,14.5
