variant,cho_to_lee_acc,cho_to_lee_kappa,lee_to_cho_acc,lee_to_cho_kappa,cho_to_lee_csv,lee_to_cho_csv
session_ea,70.60,0.412,65.40,0.308,/home/hkim/MI_test/results/loso_results_20260613_sfreq100_sessionea_session_ea_cross_cho2017_to_lee2019_csp_lda.csv,/home/hkim/MI_test/results/loso_results_20260613_sfreq100_sessionea_session_ea_cross_lee2019_to_cho2017_csp_lda.csv
session_ea_feature_coral,70.02,0.400,65.56,0.311,/home/hkim/MI_test/results/loso_results_20260613_sfreq100_sessionea_session_ea_feature_coral_cross_cho2017_to_lee2019_csp_lda.csv,/home/hkim/MI_test/results/loso_results_20260613_sfreq100_sessionea_session_ea_feature_coral_cross_lee2019_to_cho2017_csp_lda.csv
session_ea_feature_coral_mmd_resample,70.14,0.403,65.60,0.312,/home/hkim/MI_test/results/loso_results_20260613_sfreq100_sessionea_session_ea_feature_coral_mmd_resample_cross_cho2017_to_lee2019_csp_lda.csv,/home/hkim/MI_test/results/loso_results_20260613_sfreq100_sessionea_session_ea_feature_coral_mmd_resample_cross_lee2019_to_cho2017_csp_lda.csv
