variant,cho_to_lee_acc,cho_to_lee_kappa,lee_to_cho_acc,lee_to_cho_kappa,cho_to_lee_csv,lee_to_cho_csv
zscore_before_ea,68.81,0.376,65.06,0.301,/home/hkim/MI_test/results/loso_results_20260608_alignment_variants_zscore_before_ea_cross_cho2017_to_lee2019_csp_lda.csv,/home/hkim/MI_test/results/loso_results_20260608_alignment_variants_zscore_before_ea_cross_lee2019_to_cho2017_csp_lda.csv
zscore_between_ea,68.10,0.362,64.95,0.299,/home/hkim/MI_test/results/loso_results_20260608_alignment_variants_zscore_between_ea_cross_cho2017_to_lee2019_csp_lda.csv,/home/hkim/MI_test/results/loso_results_20260608_alignment_variants_zscore_between_ea_cross_lee2019_to_cho2017_csp_lda.csv
weighted_dataset_ea,68.57,0.371,64.98,0.300,/home/hkim/MI_test/results/loso_results_20260608_alignment_variants_weighted_dataset_ea_cross_cho2017_to_lee2019_csp_lda.csv,/home/hkim/MI_test/results/loso_results_20260608_alignment_variants_weighted_dataset_ea_cross_lee2019_to_cho2017_csp_lda.csv
riemannian_dataset_subject,64.25,0.285,58.89,0.178,/home/hkim/MI_test/results/loso_results_20260608_alignment_variants_riemannian_dataset_subject_cross_cho2017_to_lee2019_csp_lda.csv,/home/hkim/MI_test/results/loso_results_20260608_alignment_variants_riemannian_dataset_subject_cross_lee2019_to_cho2017_csp_lda.csv
