direction,target_subject,CSP-LDA,EA-CSP-LDA,DatasetEA+SubjectEA+CSP-LDA,DatasetEA+SubjectEA+CSPNet,DatasetEA+SubjectEA+AdaBN+Con,PSDNorm+DatasetEA+SubjectEA+AdaBN+Con,Delta_CSP_LDA_to_DatasetEA_SubjectEA_CSP_LDA,Delta_CSPNet_to_DatasetEA_SubjectEA_CSP_LDA
lee2019->cho2017,14,60.0,88.5,95.0,81.5,74.0,76.0,35.0,13.5
lee2019->cho2017,15,50.0,59.0,63.0,55.0,50.5,50.5,13.0,8.0
lee2019->cho2017,16,50.0,51.0,58.5,56.0,54.0,52.5,8.5,2.5
lee2019->cho2017,17,50.0,49.0,52.0,55.0,51.5,53.5,2.0,-3.0
lee2019->cho2017,18,50.5,55.0,59.5,53.0,53.5,57.0,9.0,6.5
lee2019->cho2017,19,52.5,63.0,69.0,59.5,61.0,60.5,16.5,9.5
lee2019->cho2017,20,50.5,50.0,64.0,64.5,65.0,62.0,13.5,-0.5
lee2019->cho2017,21,51.0,54.0,68.5,66.5,69.5,69.5,17.5,2.0
lee2019->cho2017,22,50.0,62.5,67.5,55.0,53.5,53.0,17.5,12.5
lee2019->cho2017,23,50.0,75.5,76.5,66.0,64.5,69.0,26.5,10.5
lee2019->cho2017,24,51.5,52.0,69.5,67.0,70.5,72.5,18.0,2.5
lee2019->cho2017,25,54.5,64.0,63.5,57.0,56.0,56.5,9.0,6.5
lee2019->cho2017,26,51.0,52.5,54.0,53.5,55.5,54.5,3.0,0.5
lee2019->cho2017,27,51.5,59.0,59.0,60.0,54.5,57.0,7.5,-1.0
lee2019->cho2017,28,52.5,53.5,48.5,50.5,50.5,54.0,-4.0,-2.0
lee2019->cho2017,29,49.5,52.5,51.0,49.0,48.0,48.5,1.5,2.0
lee2019->cho2017,30,57.5,64.5,66.5,61.5,60.5,61.0,9.0,5.0
lee2019->cho2017,31,50.0,58.5,62.0,71.5,63.5,66.0,12.0,-9.5
lee2019->cho2017,32,44.5,46.0,47.5,48.0,47.0,44.0,3.0,-0.5
lee2019->cho2017,33,54.0,59.5,62.5,64.0,64.5,63.0,8.5,-1.5
lee2019->cho2017,34,49.0,48.5,43.5,56.5,55.5,53.5,-5.5,-13.0
lee2019->cho2017,35,54.5,43.5,45.5,44.0,47.0,42.5,-9.0,1.5
lee2019->cho2017,36,59.5,56.0,70.5,67.0,65.0,61.5,11.0,3.5
lee2019->cho2017,37,50.0,48.5,54.0,47.5,47.0,46.0,4.0,6.5
lee2019->cho2017,38,50.0,52.5,54.0,58.0,57.5,60.0,4.0,-4.0
lee2019->cho2017,39,50.0,60.5,66.5,63.5,63.5,66.0,16.5,3.0
