dataset,subject,method,acc
lee2019,21,EA,83.0
lee2019,21,EA+TENT,91.5
lee2019,21,EA+AdaBN,94.0
lee2019,21,EA+Snapshot+AdaBN,94.5
lee2019,21,EA+SupCon,84.5
lee2019,21,EA+SupCon+AdaBN,92.5
lee2019,21,EA+SupCon+CORAL,88.5
lee2019,22,Original,65.0
lee2019,22,EA,70.0
lee2019,22,EA+TENT,77.5
lee2019,22,EA+AdaBN,78.0
lee2019,22,EA+Snapshot+AdaBN,72.5
lee2019,22,EA+SupCon,72.0
lee2019,22,EA+SupCon+AdaBN,77.0
lee2019,22,EA+SupCon+CORAL,68.5
lee2019,23,Original,77.5
lee2019,23,EA,76.5
lee2019,23,EA+TENT,78.5
lee2019,23,EA+AdaBN,82.0
lee2019,23,EA+Snapshot+AdaBN,80.0
lee2019,23,EA+SupCon,76.5
lee2019,23,EA+SupCon+AdaBN,73.5
lee2019,23,EA+SupCon+CORAL,75.0
lee2019,24,Original,53.5
lee2019,24,EA,54.5
lee2019,24,EA+TENT,56.5
lee2019,24,EA+AdaBN,56.0
lee2019,24,EA+Snapshot+AdaBN,58.0
lee2019,24,EA+SupCon,56.0
lee2019,24,EA+SupCon+AdaBN,55.0
lee2019,24,EA+SupCon+CORAL,57.5
lee2019,25,Original,59.0
lee2019,25,EA,56.0
lee2019,25,EA+TENT,63.5
lee2019,25,EA+AdaBN,57.5
lee2019,25,EA+Snapshot+AdaBN,61.0
lee2019,25,EA+SupCon,60.5
lee2019,25,EA+SupCon+AdaBN,62.0
lee2019,25,EA+SupCon+CORAL,59.0
lee2019,26,Original,66.0
lee2019,26,EA,63.5
lee2019,26,EA+TENT,63.5
lee2019,26,EA+AdaBN,61.5
lee2019,26,EA+Snapshot+AdaBN,63.0
lee2019,26,EA+SupCon,60.0
lee2019,26,EA+SupCon+AdaBN,63.0
lee2019,26,EA+SupCon+CORAL,63.0
lee2019,27,Original,54.5
lee2019,27,EA,55.5
lee2019,27,EA+TENT,57.5
lee2019,27,EA+AdaBN,53.5
lee2019,27,EA+Snapshot+AdaBN,58.5
lee2019,27,EA+SupCon,51.5
lee2019,27,EA+SupCon+AdaBN,58.0
lee2019,27,EA+SupCon+CORAL,56.5
lee2019,28,Original,90.5
lee2019,28,EA,92.0
lee2019,28,EA+TENT,91.0
lee2019,28,EA+AdaBN,89.5
lee2019,28,EA+Snapshot+AdaBN,91.0
lee2019,28,EA+SupCon,89.0
lee2019,28,EA+SupCon+AdaBN,89.0
lee2019,28,EA+SupCon+CORAL,90.0
lee2019,29,Original,66.0
lee2019,29,EA,71.5
lee2019,29,EA+TENT,63.0
lee2019,29,EA+AdaBN,65.0
lee2019,29,EA+Snapshot+AdaBN,65.5
lee2019,29,EA+SupCon,72.0
lee2019,29,EA+SupCon+AdaBN,64.5
lee2019,29,EA+SupCon+CORAL,63.5
lee2019,30,Original,72.0
lee2019,30,EA,71.0
lee2019,30,EA+TENT,74.0
lee2019,30,EA+AdaBN,73.5
lee2019,30,EA+Snapshot+AdaBN,74.0
lee2019,30,EA+SupCon,70.0
lee2019,30,EA+SupCon+AdaBN,73.5
lee2019,30,EA+SupCon+CORAL,75.5
lee2019,31,Original,62.0
lee2019,31,EA,67.5
lee2019,31,EA+TENT,70.0
lee2019,31,EA+AdaBN,68.0
lee2019,31,EA+Snapshot+AdaBN,72.0
lee2019,31,EA+SupCon,69.0
lee2019,31,EA+SupCon+AdaBN,66.5
lee2019,31,EA+SupCon+CORAL,71.0
lee2019,32,Original,96.0
lee2019,32,EA,96.0
lee2019,32,EA+TENT,96.5
lee2019,32,EA+AdaBN,93.0
lee2019,32,EA+Snapshot+AdaBN,93.0
lee2019,32,EA+SupCon,95.5
lee2019,32,EA+SupCon+AdaBN,93.0
lee2019,32,EA+SupCon+CORAL,97.5
lee2019,33,Original,95.0
lee2019,33,EA,93.5
lee2019,33,EA+TENT,97.0
lee2019,33,EA+AdaBN,94.0
lee2019,33,EA+Snapshot+AdaBN,96.5
lee2019,33,EA+SupCon,95.5
lee2019,33,EA+SupCon+AdaBN,95.0
lee2019,33,EA+SupCon+CORAL,92.0
lee2019,34,Original,46.0
lee2019,34,EA,45.0
lee2019,34,EA+TENT,50.0
lee2019,34,EA+AdaBN,48.0
lee2019,34,EA+Snapshot+AdaBN,50.0
lee2019,34,EA+SupCon,47.0
lee2019,34,EA+SupCon+AdaBN,45.5
lee2019,34,EA+SupCon+CORAL,49.0
lee2019,35,Original,50.5
lee2019,35,EA,54.0
lee2019,35,EA+TENT,54.5
lee2019,35,EA+AdaBN,52.0
lee2019,35,EA+Snapshot+AdaBN,58.0
lee2019,35,EA+SupCon,54.5
