dataset,subject,Original,EA,EA+TENT,EA+AdaBN,EA+Snapshot+AdaBN,EA+SupCon,EA+SupCon+AdaBN,EA+SupCon+CORAL,original_illiterate,Original_pass70,Original_delta_original,Original_delta_ea,EA_pass70,EA_delta_original,EA_delta_ea,EA+TENT_pass70,EA+TENT_delta_original,EA+TENT_delta_ea,EA+AdaBN_pass70,EA+AdaBN_delta_original,EA+AdaBN_delta_ea,EA+Snapshot+AdaBN_pass70,EA+Snapshot+AdaBN_delta_original,EA+Snapshot+AdaBN_delta_ea,EA+SupCon_pass70,EA+SupCon_delta_original,EA+SupCon_delta_ea,EA+SupCon+AdaBN_pass70,EA+SupCon+AdaBN_delta_original,EA+SupCon+AdaBN_delta_ea,EA+SupCon+CORAL_pass70,EA+SupCon+CORAL_delta_original,EA+SupCon+CORAL_delta_ea,any_combined_pass70,all_combined_fail70,n_combined_pass70,best_combined_acc,best_combined_method,best_combined_delta_original,best_combined_delta_ea
lee2019,18,86.0,85.0,86.0,87.0,89.0,90.0,85.5,91.0,False,True,0.0,1.0,True,-1.0,0.0,True,0.0,1.0,True,1.0,2.0,True,3.0,4.0,True,4.0,5.0,True,-0.5,0.5,True,5.0,6.0,True,False,4,91.0,EA+SupCon+CORAL,5.0,6.0
lee2019,19,81.5,84.5,84.5,82.0,85.0,85.0,84.5,85.0,False,True,0.0,-3.0,True,3.0,0.0,True,3.0,0.0,True,0.5,-2.5,True,3.5,0.5,True,3.5,0.5,True,3.0,0.0,True,3.5,0.5,True,False,4,85.0,EA+Snapshot+AdaBN,3.5,0.5
lee2019,20,74.5,73.0,71.0,77.5,73.0,75.5,70.0,75.5,False,True,0.0,1.5,True,-1.5,0.0,True,-3.5,-2.0,True,3.0,4.5,True,-1.5,0.0,True,1.0,2.5,True,-4.5,-3.0,True,1.0,2.5,True,False,4,75.5,EA+SupCon,1.0,2.5
lee2019,21,86.0,83.0,91.5,94.0,94.5,84.5,92.5,88.5,False,True,0.0,3.0,True,-3.0,0.0,True,5.5,8.5,True,8.0,11.0,True,8.5,11.5,True,-1.5,1.5,True,6.5,9.5,True,2.5,5.5,True,False,4,94.5,EA+Snapshot+AdaBN,8.5,11.5
lee2019,22,65.0,70.0,77.5,78.0,72.5,72.0,77.0,68.5,True,False,0.0,-5.0,True,5.0,0.0,True,12.5,7.5,True,13.0,8.0,True,7.5,2.5,True,7.0,2.0,True,12.0,7.0,False,3.5,-1.5,True,False,3,77.0,EA+SupCon+AdaBN,12.0,7.0
lee2019,23,77.5,76.5,78.5,82.0,80.0,76.5,73.5,75.0,False,True,0.0,1.0,True,-1.0,0.0,True,1.0,2.0,True,4.5,5.5,True,2.5,3.5,True,-1.0,0.0,True,-4.0,-3.0,True,-2.5,-1.5,True,False,4,80.0,EA+Snapshot+AdaBN,2.5,3.5
lee2019,24,53.5,54.5,56.5,56.0,58.0,56.0,55.0,57.5,True,False,0.0,-1.0,False,1.0,0.0,False,3.0,2.0,False,2.5,1.5,False,4.5,3.5,False,2.5,1.5,False,1.5,0.5,False,4.0,3.0,False,True,0,58.0,EA+Snapshot+AdaBN,4.5,3.5
lee2019,25,59.0,56.0,63.5,57.5,61.0,60.5,62.0,59.0,True,False,0.0,3.0,False,-3.0,0.0,False,4.5,7.5,False,-1.5,1.5,False,2.0,5.0,False,1.5,4.5,False,3.0,6.0,False,0.0,3.0,False,True,0,62.0,EA+SupCon+AdaBN,3.0,6.0
lee2019,26,66.0,63.5,63.5,61.5,63.0,60.0,63.0,63.0,True,False,0.0,2.5,False,-2.5,0.0,False,-2.5,0.0,False,-4.5,-2.0,False,-3.0,-0.5,False,-6.0,-3.5,False,-3.0,-0.5,False,-3.0,-0.5,False,True,0,63.0,EA+Snapshot+AdaBN,-3.0,-0.5
lee2019,27,54.5,55.5,57.5,53.5,58.5,51.5,58.0,56.5,True,False,0.0,-1.0,False,1.0,0.0,False,3.0,2.0,False,-1.0,-2.0,False,4.0,3.0,False,-3.0,-4.0,False,3.5,2.5,False,2.0,1.0,False,True,0,58.5,EA+Snapshot+AdaBN,4.0,3.0
lee2019,28,90.5,92.0,91.0,89.5,91.0,89.0,89.0,90.0,False,True,0.0,-1.5,True,1.5,0.0,True,0.5,-1.0,True,-1.0,-2.5,True,0.5,-1.0,True,-1.5,-3.0,True,-1.5,-3.0,True,-0.5,-2.0,True,False,4,91.0,EA+Snapshot+AdaBN,0.5,-1.0
lee2019,29,66.0,71.5,63.0,65.0,65.5,72.0,64.5,63.5,True,False,0.0,-5.5,True,5.5,0.0,False,-3.0,-8.5,False,-1.0,-6.5,False,-0.5,-6.0,True,6.0,0.5,False,-1.5,-7.0,False,-2.5,-8.0,True,False,1,72.0,EA+SupCon,6.0,0.5
lee2019,30,72.0,71.0,74.0,73.5,74.0,70.0,73.5,75.5,False,True,0.0,1.0,True,-1.0,0.0,True,2.0,3.0,True,1.5,2.5,True,2.0,3.0,True,-2.0,-1.0,True,1.5,2.5,True,3.5,4.5,True,False,4,75.5,EA+SupCon+CORAL,3.5,4.5
lee2019,31,62.0,67.5,70.0,68.0,72.0,69.0,66.5,71.0,True,False,0.0,-5.5,False,5.5,0.0,True,8.0,2.5,False,6.0,0.5,True,10.0,4.5,False,7.0,1.5,False,4.5,-1.0,True,9.0,3.5,True,False,2,72.0,EA+Snapshot+AdaBN,10.0,4.5
lee2019,32,96.0,96.0,96.5,93.0,93.0,95.5,93.0,97.5,False,True,0.0,0.0,True,0.0,0.0,True,0.5,0.5,True,-3.0,-3.0,True,-3.0,-3.0,True,-0.5,-0.5,True,-3.0,-3.0,True,1.5,1.5,True,False,4,97.5,EA+SupCon+CORAL,1.5,1.5
lee2019,33,95.0,93.5,97.0,94.0,96.5,95.5,95.0,92.0,False,True,0.0,1.5,True,-1.5,0.0,True,2.0,3.5,True,-1.0,0.5,True,1.5,3.0,True,0.5,2.0,True,0.0,1.5,True,-3.0,-1.5,True,False,4,96.5,EA+Snapshot+AdaBN,1.5,3.0
