group,n_subjects,mean_original,mean_ea,mean_best_combined,mean_best_combined_delta_original,mean_best_combined_delta_ea,any_combined_reaches_70,persistent_fail_all_combined,mean_n_combined_pass70
Original<70,66,59.26,63.99,66.75,7.49,2.76,28/66 (42.4%),38/66 (57.6%),1.17
Original>=70,40,82.21,84.05,86.08,3.86,2.02,40/40 (100.0%),0/40 (0.0%),3.85
