dataset,subject,n_trials,n_channels,class0,class1,class_cov_riemann_dist,csp_centroid_dist,csp_centroid_cosine,csp_fisher_ratio
cho2017,1,200,64,0,1,1.980556553532825,1.128584300813667,0.9711815807496653,0.6669456343024339
cho2017,2,200,64,0,1,1.4040516967554355,0.5013964285932668,0.9939490914704759,0.2359284961853078
cho2017,3,200,64,0,1,2.48525464956851,1.8596832066406874,0.926792722727094,1.9109435361143594
cho2017,4,200,64,0,1,1.661311941502896,0.9804800513227881,0.9772300679596898,0.9345822667668168
cho2017,5,200,64,0,1,1.9866206336201362,1.0924910558825596,0.9717560386347058,1.1217456437469453
cho2017,6,200,64,0,1,1.4771136604286887,0.9223110820915249,0.9800812390967281,0.5320210377926436
cho2017,7,240,64,0,1,1.9201798471102047,0.4316244511495622,0.9963711759946533,0.050718605184155593
cho2017,8,200,64,0,1,1.233581184196657,0.6107991869846393,0.9908703875659126,0.39701675629900984
cho2017,9,240,64,0,1,1.2645556420119781,0.6559759751093523,0.9896896795131304,0.3153825342154679
cho2017,10,200,64,0,1,1.4388898038823523,0.788137154108477,0.98490247898221,0.6888944142466042
cho2017,11,200,64,0,1,1.261506380814793,0.6307891488362848,0.9900613125772643,0.7261727536801003
cho2017,12,200,64,0,1,1.7493172533019268,0.9422079683604228,0.9786597420440935,0.9024273179527894
cho2017,13,200,64,0,1,1.3560606202129826,0.8027992929966572,0.9848112423920766,0.45093538316252424
cho2017,14,200,64,0,1,2.2430091447718903,1.9008593783125372,0.9213290060367455,3.312870156685753
cho2017,15,200,64,0,1,1.244136533566766,0.7718529151002123,0.9851506372366404,1.4277562383759388
cho2017,16,200,64,0,1,1.3508930802192791,0.5774255698114228,0.9918265641679421,0.467685161015347
cho2017,17,200,64,0,1,1.474479624998985,0.49900911204941756,0.9940397614536131,0.20994494643208098
cho2017,18,200,64,0,1,1.6360926925240673,0.6549119903638916,0.991495434231362,0.1280912664063103
cho2017,19,200,64,0,1,1.4972332134645927,0.6318769333520794,0.9910697947266844,0.16910289396001896
cho2017,20,200,64,0,1,2.0162774973111457,0.9284194180586323,0.9792943623489007,0.9022845593997121
cho2017,21,200,64,0,1,1.8862565163693221,0.8595967105625221,0.9826075107649838,0.5898987279676569
cho2017,22,200,64,0,1,1.670054822109867,0.7409740200089859,0.9868157791141582,0.5240537441335839
cho2017,23,200,64,0,1,1.6179077567514573,1.0315600744143116,0.9749164316924372,0.8706453030759186
cho2017,24,200,64,0,1,1.2700523119167326,0.8254083735644647,0.9838906803781055,0.467296787506677
cho2017,25,200,64,0,1,1.542260146866134,0.7462334246041316,0.987155508581341,0.2790062879819748
cho2017,26,200,64,0,1,1.819356467950058,0.8969291584712813,0.9825572313037723,0.2897349883107187
cho2017,27,200,64,0,1,1.1436774823188882,0.6224647839019516,0.990325406203918,0.7391772487867196
cho2017,28,200,64,0,1,1.7207170120054982,0.6629652600571309,0.9899527309714019,0.23109447332543945
cho2017,29,200,64,0,1,1.4784970373769113,0.5234575056330459,0.9939812285152518,0.08926264915092268
cho2017,30,200,64,0,1,1.379476087840766,0.6476303521163403,0.98994750746461,0.350483762582817
cho2017,31,200,64,0,1,1.2519747665770034,0.7788869946589296,0.9854368133347878,0.5065000632463228
cho2017,32,200,64,0,1,1.2570956792358228,0.6494835225498721,0.989645312802082,0.47415271751683546
cho2017,33,200,64,0,1,1.2800147265995108,0.6805755267039113,0.9885834430528007,0.6206263781565209
cho2017,34,200,64,0,1,1.6867992592439514,0.41829709572634277,0.9961300533459637,0.051288953489750544
cho2017,35,200,64,0,1,3.747729334052421,2.656739166157877,0.8745406881560448,1.5270060803038705
cho2017,36,200,64,0,1,1.745455664172115,0.9306890587165799,0.9817116646767081,0.32608258875248863
cho2017,37,200,64,0,1,2.2880493274306395,0.6894004439022533,0.9897230094934941,0.1704657433846891
cho2017,38,200,64,0,1,1.2159717226003237,0.580555533739722,0.9917230543632698,0.36890542091602907
cho2017,39,200,64,0,1,1.8767315566138258,0.744520545828057,0.9870563807361564,0.3310314920634792
cho2017,40,200,64,0,1,1.5179650317208133,0.5784597452739805,0.9919342189645818,0.3429524288283165
cho2017,41,200,64,0,1,1.9050361036629782,1.2133508843390326,0.9654128683153153,1.4358768877289076
cho2017,42,200,64,0,1,1.168773270467825,0.6491555883198062,0.989453286160098,0.9125748673339802
cho2017,43,200,64,0,1,2.420646302986515,1.7912801370787856,0.9343651169989309,1.1467950756493392
cho2017,44,200,64,0,1,2.273104861465075,1.0352311363891045,0.9803033425961475,0.18505475212333916
cho2017,45,200,64,0,1,1.6269693005564336,0.6972054538308173,0.9887117196112709,0.21452254439118695
cho2017,46,240,64,0,1,2.3782466217415332,1.1305271322909487,0.9738780773716258,0.37189830951903596
cho2017,47,200,64,0,1,2.3168736890239905,0.8642169599698598,0.9831644258611398,0.35298777151300353
cho2017,48,200,64,0,1,2.251514539117271,0.9847023854814765,0.9788141698120296,0.42027425602792606
cho2017,49,200,64,0,1,2.4931516162036362,1.1532395474746786,0.9693526873260995,1.0136330008215053
cho2017,50,200,64,0,1,1.556214689752617,1.0427833973764322,0.9736237655036615,1.7720844859269045
cho2017,51,200,64,0,1,1.4872403880462364,0.5964246950360008,0.9916744334508942,0.21777081971836518
cho2017,52,200,64,0,1,1.2360540509362912,0.745455544686182,0.9862912412752928,0.8620563162781604
